PaulKocher,DanielGenkin,DanielGruss
MoritzLipp,MichaelSchwarz0001,DanielGruss
FrankManola,?,?
MichaelL.Brodie,MichaelStonebraker,?
MarkF.Hornick,JoeD.Morrison,FarshadNayeri
FrankManola,?,?
FrankManola,?,?
AlejandroP.Buchmann,zsu,DimitriosGeorgakopoulos
FrankManola,SandraHeiler,?
FrankManola,?,?
FrankManola,?,?
FrankManola,MarkF.Hornick,AlejandroP.Buchmann
FrankManola,?,?
FarshadNayeri,BenjaminHurwitz,?
MichaelStonebraker,?,?
DavidBeech,CetinOzbutun,?
KrishnaG.Kulkarni,JimMelton,JonathanBauer
PhilShaw,?,?
JimMelton,JonathanBauer,KrishnaG.Kulkarni
DavidBeech,?,?
RolfSander,?,?
ThomasLudwig0001,?,?
WernerEmde,Claus-RainerRollinger,?
ChristophBeierle,UdoPletat,HansUszkoreit
UlrikeRackow,IdoDagan,UlrikeSchwall
rl,?,?
ErichGehlen,BurkhardKehrbusch,?
hfeld,GertSmolka,?
BirgitWesche,?,?
ChristopherHabel,?,?
ThomasLudwig0001,BerndWalter,MichaelLey
ThomasLudwig0001,StefanBenzschawel,ErichGehlen
rger,?,?
MichaelLey,?,?
RolandSeiffert,?,?
pke,?,?
ttcher,?,?
UlrikeSchwall,?,?
RudiStuder,BerndWalter,?
AlbertMaier,MichaelLey,ErichGehlen
ThomasLudwig0001,BerndWalter,?
ToniBollinger,UdoPletat,?
ChristophBeierle,?,?
CarolaEschenbach,?,?
ManfredSchmidt-Schau,GertSmolka,?
Hans-JoachimGoltz,?,?
Claus-RainerRollinger,?,?
OttheinHerzog,?,?
BernhardBeckert,?,?
ChristophBeierle,ttcher,?
StefanJ.Schierholz,?,?
ChristophBeierle,UdoPletat,?
BirgitWendholt,?,?
GudrunKlose,?,?
MichaelHerweg,MohammedNadjibKhenkhar,SimonePribbenow
AnjaTheuner,?,?
rl,?,?
PeterH.Schmitt,?,?
ChristophBeierle,UdoPletat,?
ClaudiaMaienborn,?,?
ser,UlrikeSchwall,AngelikaStorrer
nig,?,?
ClaudiaMrotzek,?,?
BirgitWesche,?,?
rner,RudiStuder,?
LutzVoelkel,?,?
PeterH.Schmitt,?,?
ttcher,?,?
Kai-UweCarstensen,?,?
UlrikeWeiland,bner,?
rger,PeterH.Schmitt,?
MichaelCzymmeck,?,?
MichaelTarnowski,?,?
HelmarGust,PetraLudewig,MechthildRickheit
bner,KaivonLuck,UlrikeWeiland
ElisabethNeugebauer,?,?
MohammedNadjibKhenkhar,?,?
SitaramLanka,EricMays,?
PetraMaier,?,?
MichelE.Adiba,BruceG.Lindsay0001,?
BirgitWesche,?,?
rner,?,?
GudrunKlose,EwaldLang,ThomasPirlein
m,?,?
IpkeWachsmuth,?,?
UdoPletat,ChristophBeierle,?
ChristophBeierle,rger,?
BirgitWesche,IngridRenz,?
KaivonLuck,?,?
ttcher,?,?
NoamPaz,?,?
KurtEberle,?,?
MichaelLey,BerndWalter,?
GregorErbach,?,?
ChristosGaridis,?,?
JenniferA.Brundage,MarenKresse,UlrikeSchwall
ToniBollinger,?,?
StefanJ.Schierholz,EricWindisch,?
GregorErbach,?,?
ToniBollinger,UdoPletat,?
PeterGerstl,?,?
rner,E.F.Codd,KennethL.Deckert
UlrikeRackow,?,?
ClaudiaMaienborn,?,?
ller,?,?
ChristophBeierle,rger,?
RolfMayer,?,?
digerWirth,?,?
HolgerM.Wittmann,?,?
MechthildRickheit,?,?
JanWilms,?,?
MichaelLey,?,?
KaiLebeth,BerndAbb,?
GertSmolka,?,?
rgHeinrich,?,?
AndreasEisele0001,rre,?
uerle,?,?
SvenLorenz,?,?
rger,?,?
ThomasLudwig0001,?,?
MichaelKlein,?,?
E.F.Codd,RobertS.Arnold,Jean-MarcCadiou
TiborKiss,?,?
PeterH.Schmitt,WolfgangWernecke,?
RolandSeiffert,?,?
AlbertMaier,?,?
rre,RolandSeiffert,?
ToniBollinger,ck,Claus-RainerRollinger
PetraMaier,PetraSteffens,?
HelmarGust,ManfredGrothaus,?
nig,?,?
KarinKlabunde,?,?
KarlDotzek,?,?
SaiChoiKwan,H.RaymondStrong,?
StefanJ.Schierholz,?,?
RolandSeiffert,?,?
Kai-UweCarstensen,?,?
NikolausOtt,?,?
OttheinHerzog,Claus-RainerRollinger,PeterH.Schmitt
PeterH.Schmitt,?,?
StefanJ.Schierholz,?,?
ElisabethBreidt,?,?
OliverWauschkuhn,?,?
ChristophBeierle,AngiVo,?
ChristophBeierle,?,?
ChristophBeierle,rre,UdoPletat
KurtEberle,?,?
rre,IngoRaasch,?
ClaudiaMaienborn,?,?
BerndI.Dahn,TheodorLettmann,nfeld
IrvingL.Traiger,JimGray0001,CesareA.Galtieri
UdoPletat,KaivonLuck,?
rger,?,?
ChristophLingenfelder,cker-Schend,?
SimonePribbenow,?,?
JoachimMaier,?,?
mper,?,?
tze,?,?
ChristophBeierle,ck,UdoPletat
PetraLudewig,?,?
SvenLorenz,?,?
ttcher,ChristophBeierle,?
HerbertJ.Leass,?,?
IngridRenz,?,?
ThomasLudwig0001,?,?
RudiStuder,?,?
JanWilms,?,?
ChristophBeierle,WalterG.Olthoff,AngiVo
ChristophBeierle,UdoPletat,?
hnle,BernhardBeckert,StefanGerberding
ThomasPirlein,?,?
GertSmolka,?,?
ChristophBeierle,ttcher,GregorMeyer
ThomasLudwig0001,?,?
ErichGehlen,?,?
AndreasArning,?,?
ThomasLudwig0001,?,?
SimonePribbenow,?,?
ChristophBeierle,ck,UdoPletat
RaymondA.Lorie,?,?
